0,1,2,status,field_seo_title,weight,description
Garten,,,1,Der Garten,100,"Ein Garten ist ein abgegrenztes Stück Land, in dem Pflanzen oder Tiere gepflegt werden. Im Gegensatz zu Parks werden Gärten meist privat genutzt. "
,Pflanzen,,1,Die Pflanzen,120,"Als Pflanzen werden heute in erster Linie die Embryophyta bezeichnet, zu denen die Samenpflanzen, die Farne und die Moose gehören. "
,,Agave,0,Die Agave,121,Die Agaven (Agave) sind eine Pflanzengattung in der Unterfamilie der Agavengewächse (Agavoideae) innerhalb der Familie der Spargelgewächse (Asparagaceae).
,,Ahorn,0,Der Ahorn,122,Die Ahorne (Acer) bilden eine Pflanzengattung in der Unterfamilie der Rosskastaniengewächse (Hippocastanoideae) innerhalb der Familie der Seifenbaumgewächse (Sapindaceae).
,Tiere,,1,Die Tiere,110,"Als Tiere werden Lebewesen mit Zellkern (Eukaryoten) angesehen, die ihre Stoffwechselenergie nicht wie Pflanzen aus Sonnenlicht beziehen, Sauerstoff zur Atmung benötigen, aber keine Pilze sind."
,,Hase,1,Der Hase,111,"Die Hasen (Leporidae, von lateinisch lepus = Hase) sind eine Säugetierfamilie aus der Ordnung der Hasenartigen (Lagomorpha, von griechisch λαγός oder λαγῶς (lagos) = Hase und μορφή (morphe) = Form, Gestalt)."
,,Igel,1,Der Igel,112,"Die Igel (Erinaceidae) bilden eine Familie von Säugetieren, deren bekannteste Vertreter die in Europa lebenden Arten Braunbrustigel (Erinaceus europaeus) und Nördlicher Weißbrustigel (Erinaceus roumanicus) sind."
Wohnen,,,1,Das Wohnen,200,"Eine Wohnung (althochdeutsch wonên: „zufrieden sein“, „wohnen“, „sein“, „bleiben“) ist die Zusammenfassung einer Mehrheit von Räumen, die in ihrer Gesamtheit so beschaffen sein müssen, dass die Führung eines selbständigen Haushalts möglich ist."
,Räume,,1,Die Räume,210,"Als Zimmer wird ein Raum bezeichnet, der einen von Wänden, Boden und Decke umschlossenen Teil einer Wohnung oder eines Gebäudes, insbesondere eines Wohngebäudes bildet, eine gewisse Größe bzw. Grundfläche aufweist (in der Regel mindestens circa 10 m²) und üblicherweise über Fenster verfügt (ausgenommen Badezimmer, die oft fensterlos sind)."
,,Badezimmer,1,Das Badezimmer,211,"Ein Badezimmer bzw. norddeutsch Badestube (umgangssprachlich kurz Bad) bezeichnet den Raum einer Wohnung oder eines Gebäudes, in dem sich Personen baden oder duschen, die Hände waschen oder „erfrischen“ können."
,,Esszimmer,0,Das Esszimmer,212,"Das Esszimmer bzw. Speisezimmer ist das Zimmer einer Wohnung oder eines Wohnhauses, das vorwiegend zum Essen genutzt wird. "
